model     	E_kin       	U 	eb1_1     	eb2_1       	eb3_1     	eb4_1       	mu 	t 	tb1_1      	tb2_1      	tb3_1      	tb4_1      	ave_mu     	ave_t       	ave_U_1 	ave_eb1_1 	ave_eb2_1 	ave_eb3_1 	ave_eb4_1 	ave_mu_1   	ave_t_1     	ave_tb1_1 	ave_tb2_1 	ave_tb3_1 	ave_tb4_1 	E0_1       	sector_1   	n_1        	githash 	version 	script             	time             	
2L_4b_gen 	-0.96358094 	4 	1.3133194 	-0.92430337 	1.3133423 	-0.92433447 	2  	1 	0.42519886 	0.42648984 	0.42519751 	0.42649277 	1.0103143  	-0.96358094 	nan     	nan       	nan       	nan       	nan       	1.0128172  	-0.66857506 	nan       	nan       	nan       	nan       	-8.9854925 	R0:N6:S0:1 	1.0128172  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-14@12:09 
2L_4b_gen 	-0.98152857 	4 	1.0128136 	-0.71372207 	1.0128233 	-0.7137327  	2  	1 	0.39380001 	0.3788277  	0.39380261 	0.37882625 	1.0018006  	-0.98152857 	nan     	nan       	nan       	nan       	nan       	1.0051353  	-0.68609533 	nan       	nan       	nan       	nan       	-8.0962454 	R0:N6:S0:1 	1.0051353  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-14@12:09 
2L_4b_gen 	-0.97966093 	4 	1.1755787 	-1.0145979  	1.1755666 	-1.0146     	2  	1 	0.42906898 	0.42193128 	0.42906448 	0.42192783 	0.99999416 	-0.97966093 	nan     	nan       	nan       	nan       	nan       	1.0018638  	-0.68396579 	nan       	nan       	nan       	nan       	-9.3667428 	R0:N6:S0:1 	1.0018638  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-14@12:10 
2L_4b_gen 	-0.98003233 	4 	1.1751294 	-1.11319    	1.1751695 	-1.1131449  	2  	1 	0.43524654 	0.43393552 	0.43524881 	0.43392002 	0.9996867  	-0.98003233 	nan     	nan       	nan       	nan       	nan       	1.0014085  	-0.68608029 	nan       	nan       	nan       	nan       	-9.7750595 	R0:N6:S0:1 	1.0014085  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-14@12:10 
2L_4b_gen 	-0.96391656 	4 	1.1440404 	-1.1662406  	1.1439328 	-1.1661278  	2  	1 	0.43382712 	0.43486357 	0.43381103 	0.43484155 	1.0000373  	-0.96391656 	nan     	nan       	nan       	nan       	nan       	0.99966606 	-0.67254826 	nan       	nan       	nan       	nan       	-9.9779776 	R0:N6:S0:1 	0.99966606 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-14@12:10 
2L_4b_gen 	-0.96418763 	4 	1.1593783 	-1.1648488  	1.1596343 	-1.1650377  	2  	1 	0.43297167 	0.43361629 	0.43302312 	0.4336536  	1.0011633  	-0.96418763 	nan     	nan       	nan       	nan       	nan       	1.0002694  	-0.67344845 	nan       	nan       	nan       	nan       	-9.9602749 	R0:N6:S0:1 	1.0002694  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-14@12:11 
2L_4b_gen 	-0.96966019 	4 	1.183958  	-1.1416401  	1.1840179 	-1.1416912  	2  	1 	0.43420856 	0.43303616 	0.43422055 	0.43304622 	0.9912016  	-0.96966019 	nan     	nan       	nan       	nan       	nan       	0.9925844  	-0.67776846 	nan       	nan       	nan       	nan       	-9.8759107 	R0:N6:S0:1 	0.9925844  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-14@12:11 
2L_4b_gen 	-0.99755317 	4 	1.1583325 	-1.1516176  	1.158365  	-1.1516328  	2  	1 	0.43710625 	0.43026015 	0.43711353 	0.43026354 	1.0057335  	-0.99755317 	nan     	nan       	nan       	nan       	nan       	1.003336   	-0.70292798 	nan       	nan       	nan       	nan       	-9.9046591 	R0:N6:S0:1 	1.003336   	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-14@12:12 
2L_4b_gen 	-0.97728681 	4 	1.1988301 	-1.1182024  	1.1988789 	-1.118212   	2  	1 	0.43637221 	0.43587707 	0.43637913 	0.43588065 	0.99504761 	-0.97728681 	nan     	nan       	nan       	nan       	nan       	0.99595872 	-0.68494877 	nan       	nan       	nan       	nan       	-9.7866019 	R0:N6:S0:1 	0.99595872 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-14@12:12 
2L_4b_gen 	-0.96370812 	4 	1.2250789 	-1.1459969  	1.2250851 	-1.1459889  	2  	1 	0.44104652 	0.43375819 	0.44104432 	0.43375997 	0.99888032 	-0.96370812 	nan     	nan       	nan       	nan       	nan       	0.9998764  	-0.67480435 	nan       	nan       	nan       	nan       	-9.9080945 	R0:N6:S0:1 	0.9998764  	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-14@12:13 
2L_4b_gen 	-0.95283461 	4 	1.1978098 	-1.1802043  	1.1977531 	-1.1801467  	2  	1 	0.43631956 	0.4342568  	0.43630951 	0.43424481 	0.99478592 	-0.95283461 	nan     	nan       	nan       	nan       	nan       	0.99558031 	-0.6663485  	nan       	nan       	nan       	nan       	-10.028718 	R0:N6:S0:1 	0.99558031 	20a4d9d 	v2.1.5  	general_bath_1D.py 	2023-07-14@12:13 
