model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.9485535	-0.95805448	0.252009	4	1.3133194	-0.92430337	1.3133423	-0.92433447	1	1	0.42519886	0.42648984	0.42519751	0.42649277	0.85857883	-0.95805448	nan	nan	nan	nan	nan	0.95620939	-0.66798928	nan	nan	nan	nan	-7.0449602	R0:N6:S0:1	0.95620939	20a4d9d	v2.1.5	 4.11e-02	 6.06e-01	 1.00e+06	general_bath_1D.py	2023-07-27@12:16
2L_4b_gen	0.5248096	-0.99491049	0.29303391	4	0.33403017	-0.22739725	0.33740219	-0.22971501	1	1	0.2710477	0.34256467	0.27214894	0.34294289	0.86050577	-0.99491049	nan	nan	nan	nan	nan	0.90568435	-0.61276841	nan	nan	nan	nan	-4.2158447	R0:N6:S0:1	0.90568435	20a4d9d	v2.1.5	 3.93e-02	 2.70e-02	 1.97e-01	general_bath_1D.py	2023-07-27@12:17
2L_4b_gen	0.51118185	-1.0108143	0.30169752	4	0.33606845	-0.20212144	0.32984373	-0.20331182	1	1	0.3170414	0.32982536	0.31652554	0.32938533	0.86122685	-1.0108143	nan	nan	nan	nan	nan	0.89200929	-0.60450205	nan	nan	nan	nan	-4.1892549	R0:N6:S0:1	0.89200929	20a4d9d	v2.1.5	 3.98e-02	 8.11e-03	 6.23e-02	general_bath_1D.py	2023-07-27@12:18
2L_4b_gen	0.50829045	-1.0091191	0.30027226	4	0.34988737	-0.19887994	0.34037084	-0.19765201	1	1	0.32682619	0.32857239	0.32549141	0.32746479	0.86072171	-1.0091191	nan	nan	nan	nan	nan	0.89203128	-0.60197428	nan	nan	nan	nan	-4.1836263	R0:N6:S0:1	0.89203128	20a4d9d	v2.1.5	 3.96e-02	 1.58e-03	 9.86e-03	general_bath_1D.py	2023-07-27@12:19
2L_4b_gen	0.50683996	-1.0088451	0.29887463	4	0.35235623	-0.19783635	0.34369968	-0.19704257	1	1	0.3274858	0.32870659	0.32634376	0.32773425	0.85954474	-1.0088451	nan	nan	nan	nan	nan	0.8912937	-0.6017721	nan	nan	nan	nan	-4.1811301	R0:N6:S0:1	0.8912937	20a4d9d	v2.1.5	 3.94e-02	 9.50e-04	 1.26e-03	general_bath_1D.py	2023-07-27@12:20
2L_4b_gen	0.50654104	-1.0063724	0.29736419	4	0.35064923	-0.19722097	0.34278552	-0.19681258	1	1	0.32818788	0.32770499	0.32721688	0.32684926	0.8592964	-1.0063724	nan	nan	nan	nan	nan	0.88955	-0.59875515	nan	nan	nan	nan	-4.180268	R0:N6:S0:1	0.88955	20a4d9d	v2.1.5	 3.96e-02	 4.40e-03	 2.17e-03	general_bath_1D.py	2023-07-27@12:21
2L_4b_gen	0.50316038	-1.0102576	0.30261219	4	0.35903354	-0.19599854	0.3511182	-0.19550101	1	1	0.33020943	0.32637296	0.32922592	0.3254958	0.86119	-1.0102576	nan	nan	nan	nan	nan	0.89397821	-0.60506019	nan	nan	nan	nan	-4.1732418	R0:N6:S0:1	0.89397821	20a4d9d	v2.1.5	 3.99e-02	 5.73e-03	 3.10e-03	general_bath_1D.py	2023-07-27@12:21
2L_4b_gen	0.50648658	-1.0079593	0.30049851	4	0.34998283	-0.19799941	0.34048414	-0.19719204	1	1	0.32571327	0.32940128	0.32445485	0.32836733	0.8606595	-1.0079593	nan	nan	nan	nan	nan	0.89245316	-0.60086957	nan	nan	nan	nan	-4.1801762	R0:N6:S0:1	0.89245316	20a4d9d	v2.1.5	 3.98e-02	 1.14e-03	 6.22e-03	general_bath_1D.py	2023-07-27@12:22
2L_4b_gen	0.50637985	-1.0122482	0.30340661	4	0.3505784	-0.19736076	0.3419382	-0.19691927	1	1	0.32729404	0.32839121	0.32621586	0.32746505	0.86039234	-1.0122482	nan	nan	nan	nan	nan	0.89192811	-0.60417378	nan	nan	nan	nan	-4.1799569	R0:N6:S0:1	0.89192811	20a4d9d	v2.1.5	 3.96e-02	 6.45e-04	 2.49e-03	general_bath_1D.py	2023-07-27@12:23
2L_4b_gen	0.50734706	-1.0104089	0.30460938	4	0.34960609	-0.1976921	0.34057027	-0.19674174	1	1	0.32769612	0.32870517	0.32647249	0.32767583	0.86044862	-1.0104089	nan	nan	nan	nan	nan	0.89212817	-0.60242486	nan	nan	nan	nan	-4.1819467	R0:N6:S0:1	0.89212817	20a4d9d	v2.1.5	 3.99e-02	 9.48e-04	 1.02e-03	general_bath_1D.py	2023-07-27@12:24
